,package_id,centroid_latitude,centroid_longitude
0,ess-dive-604526ffed25afc-20250128T182907765,44.1623,-122.332
1,ess-dive-604526ffed25afc-20250128T182907765,44.2179,-122.265
2,ess-dive-604526ffed25afc-20250128T182907765,43.7236,-121.796
3,ess-dive-604526ffed25afc-20250128T182907765,41.7862,-72.965
4,ess-dive-604526ffed25afc-20250128T182907765,44.6339,-71.8981
5,ess-dive-604526ffed25afc-20250128T182907765,41.9083,-72.7594
6,ess-dive-604526ffed25afc-20250128T182907765,44.5117,-71.8378
7,ess-dive-604526ffed25afc-20250128T182907765,41.8207,-72.9701
8,ess-dive-604526ffed25afc-20250128T182907765,44.3656,-72.0393
9,ess-dive-604526ffed25afc-20250128T182907765,41.7998,-72.9649
10,ess-dive-604526ffed25afc-20250128T182907765,44.4761,-72.125
11,ess-dive-604526ffed25afc-20250128T182907765,44.4353,-72.0389
12,ess-dive-604526ffed25afc-20250128T182907765,41.9679,-73.0334
13,ess-dive-604526ffed25afc-20250128T182907765,41.9872,-72.6058
14,ess-dive-604526ffed25afc-20250128T182907765,41.7555,-72.887
15,ess-dive-604526ffed25afc-20250128T182907765,44.4906,-72.1622
16,ess-dive-604526ffed25afc-20250128T182907765,43.8228,-121.7977
17,ess-dive-604526ffed25afc-20250128T182907765,43.9305,-121.412
18,ess-dive-604526ffed25afc-20250128T182907765,43.814,-121.7772
19,ess-dive-604526ffed25afc-20250128T182907765,44.7428,-121.2297
20,ess-dive-604526ffed25afc-20250128T182907765,45.6222,-120.9044
21,ess-dive-604526ffed25afc-20250128T182907765,43.6862,-121.6873
22,ess-dive-604526ffed25afc-20250128T182907765,38.6644,-106.8475
23,ess-dive-604526ffed25afc-20250128T182907765,38.9858,-107.0028
24,ess-dive-604526ffed25afc-20250128T182907765,38.9226,-106.9509
25,ess-dive-604526ffed25afc-20250128T182907765,38.9827,-107.0051
26,ess-dive-604526ffed25afc-20250128T182907765,38.9905,-107.0065
27,ess-dive-604526ffed25afc-20250128T182907765,38.9833,-108.45
28,ess-dive-604526ffed25afc-20250128T182907765,38.5292,-106.9561
29,ess-dive-604526ffed25afc-20250128T182907765,38.5172,-106.9956
30,ess-dive-604526ffed25afc-20250128T182907765,38.5292,-107.6483
31,ess-dive-604526ffed25afc-20250128T182907765,44.2085,-122.2568
32,ess-dive-604526ffed25afc-20250128T182907765,44.2134,-122.244
33,ess-dive-604526ffed25afc-20250128T182907765,43.6892,-121.503
34,ess-dive-604526ffed25afc-20250128T182907765,44.2097,-122.257
35,ess-dive-604526ffed25afc-20250128T182907765,44.0696,-122.7723
36,ess-dive-604526ffed25afc-20250128T182907765,46.2321,-119.9999
37,ess-dive-604526ffed25afc-20250128T182907765,46.5308,-120.4703
38,ess-dive-604526ffed25afc-20250128T182907765,46.989,-121.0992
39,ess-dive-604526ffed25afc-20250128T182907765,46.9778,-121.1695
40,ess-dive-604526ffed25afc-20250128T182907765,46.2553,-119.4741
41,ess-dive-604526ffed25afc-20250128T182907765,46.7241,-120.7004
42,ess-dive-604526ffed25afc-20250128T182907765,46.7289,-120.7143
43,ess-dive-604526ffed25afc-20250128T182907765,38.8183,-106.6086
44,ess-dive-604526ffed25afc-20250128T182907765,38.8604,-106.567
45,ess-dive-604526ffed25afc-20250128T182907765,44.8012,-121.066
46,ess-dive-604526ffed25afc-20250128T182907765,44.2879,-121.5441
47,ess-dive-604526ffed25afc-20250128T182907765,44.5664,-123.2568
48,ess-dive-604526ffed25afc-20250128T182907765,43.9806,-122.9653
49,ess-dive-604526ffed25afc-20250128T182907765,44.2701,-123.1748
50,ess-dive-604526ffed25afc-20250128T182907765,43.9983,-122.905
51,ess-dive-604526ffed25afc-20250128T182907765,45.5175,-122.6692
52,ess-dive-db8bc52c8214122-20250127T173920049,44.1623,-122.332
53,ess-dive-db8bc52c8214122-20250127T173920049,44.2179,-122.265
54,ess-dive-db8bc52c8214122-20250127T173920049,45.6449,-73.4774
55,ess-dive-db8bc52c8214122-20250127T173920049,45.6462,-73.4637
56,ess-dive-db8bc52c8214122-20250127T173920049,45.645,-73.4529
57,ess-dive-db8bc52c8214122-20250127T173920049,45.5685,-73.5079
58,ess-dive-db8bc52c8214122-20250127T173920049,44.6006,-75.6606
59,ess-dive-db8bc52c8214122-20250127T173920049,44.63438,-75.61223
60,ess-dive-db8bc52c8214122-20250127T173920049,44.79,-75.3714
61,ess-dive-db8bc52c8214122-20250127T173920049,44.8463,-75.2996
62,ess-dive-db8bc52c8214122-20250127T173920049,43.7236,-121.796
63,ess-dive-db8bc52c8214122-20250127T173920049,46.649199,-121.300698
64,ess-dive-db8bc52c8214122-20250127T173920049,46.654386,-121.319166
65,ess-dive-db8bc52c8214122-20250127T173920049,46.648074,-121.297724
66,ess-dive-db8bc52c8214122-20250127T173920049,46.6399,-121.2901
