id,lat_lon
nmdc:bsm-11-cfvxnx86,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-7v0s5h20,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-hsbzr487,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-cq098052,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-q0kq3j07,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-gct9a904,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-njgegt83,"{'has_raw_value': '35.8443 -83.9607', 'latitude': 35.8443, 'longitude': -83.9607, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-ra4act47,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-4cf44p06,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-x0gt4r57,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-z0d0s429,"{'has_raw_value': '35.8444 -83.9599', 'latitude': 35.8444, 'longitude': -83.9599, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-gvp5zp51,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-yvzvbr38,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-7b566r47,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-byzpm179,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-kmpwgz16,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-kqbbyb62,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-fqchmc77,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-kv966g71,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-m5prkp97,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-tn8q1269,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-gnbsqd30,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-jx6ar740,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-sa4z4f71,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-m69k6p77,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-a6p0kd54,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-kcdh3w94,"{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-veffrc25,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-2hswww54,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-ttg2t449,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-1p0tct86,"{'has_raw_value': '46.37380143 -119.2723688', 'latitude': 46.37380143, 'longitude': -119.2723688, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-35m0rm03,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-af8kqq09,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
