biosample_id,latitude,longitude
nmdc:bsm-13-x1ma5j53,47.5028,-93.4828
nmdc:bsm-13-s6pqdh86,47.5028,-93.4828
nmdc:bsm-13-y2s5yw49,47.5028,-93.4828
nmdc:bsm-13-xr2vxh14,47.5028,-93.4828
nmdc:bsm-13-bn7xy734,47.5028,-93.4828
nmdc:bsm-13-h2xfde47,47.5028,-93.4828
nmdc:bsm-13-8wbdgs11,47.5028,-93.4828
nmdc:bsm-13-kbv59d50,47.5028,-93.4828
nmdc:bsm-13-hrpm2628,47.5028,-93.4828
nmdc:bsm-13-x70fwn09,47.5028,-93.4828
nmdc:bsm-13-ddp65a36,47.5028,-93.4828
nmdc:bsm-13-ybh49n05,47.5028,-93.4828
nmdc:bsm-13-6k2c1f46,47.5028,-93.4828
nmdc:bsm-13-smf6g033,47.5028,-93.4828
nmdc:bsm-13-8kyy6k05,47.5028,-93.4828
nmdc:bsm-13-ejzgt033,47.5028,-93.4828
nmdc:bsm-13-2cv2tj30,47.5028,-93.4828
nmdc:bsm-13-86c1zk13,47.5028,-93.4828
nmdc:bsm-13-arf84s42,47.5028,-93.4828
nmdc:bsm-13-hg452k39,47.5028,-93.4828
nmdc:bsm-13-6p3pkb08,47.5028,-93.4828
nmdc:bsm-13-zvz59s14,47.5028,-93.4828
nmdc:bsm-13-fss46f13,47.5028,-93.4828
nmdc:bsm-13-h5cw6h57,47.5028,-93.4828
nmdc:bsm-13-c1f8fv85,47.5028,-93.4828
nmdc:bsm-13-k80gq797,47.5028,-93.4828
nmdc:bsm-13-d573mh44,47.5028,-93.4828
nmdc:bsm-13-d49z5h81,47.5028,-93.4828
nmdc:bsm-13-yvpfes41,47.5028,-93.4828
nmdc:bsm-13-25fmb123,47.5028,-93.4828
nmdc:bsm-13-gre72d26,47.5028,-93.4828
nmdc:bsm-13-2fc16720,47.5028,-93.4828
nmdc:bsm-13-ekpga968,47.5028,-93.4828
nmdc:bsm-11-nher1m25,40.178,-81.073
nmdc:bsm-11-ed5sns91,18.321,-65.8172
nmdc:bsm-11-qrffcr64,18.321,-65.8172
nmdc:bsm-11-jyswqd53,18.321,-65.8172
nmdc:bsm-11-302b5a66,18.321,-65.8172
nmdc:bsm-11-rz68jz92,18.321,-65.8172
nmdc:bsm-11-92xxdg53,18.321,-65.8172
nmdc:bsm-11-c6g7jb68,18.321,-65.8172
nmdc:bsm-11-xttvcf02,18.321,-65.8172
nmdc:bsm-13-bgefg837,47.5028,-93.4828
nmdc:bsm-11-ac8q3p77,18.321,-65.8172
nmdc:bsm-13-7q44hn24,47.5028,-93.4828
nmdc:bsm-13-cdt43113,47.5028,-93.4828
nmdc:bsm-13-7ft8an22,47.5028,-93.4828
nmdc:bsm-11-xm24hr93,18.321,-65.8172
nmdc:bsm-13-hvsnrm51,47.5028,-93.4828
nmdc:bsm-13-9tv9as07,47.5028,-93.4828
nmdc:bsm-13-dccq0665,47.5028,-93.4828
nmdc:bsm-13-bc5wy465,47.5028,-93.4828
nmdc:bsm-13-6v96jy60,47.5028,-93.4828
nmdc:bsm-13-tya3bn07,47.5028,-93.4828
nmdc:bsm-13-prke7n52,47.5028,-93.4828
nmdc:bsm-13-mn6sjr37,47.5028,-93.4828
nmdc:bsm-13-0x5ra236,47.5028,-93.4828
nmdc:bsm-13-w3sk3718,47.5028,-93.4828
nmdc:bsm-13-cc36m716,47.5028,-93.4828
nmdc:bsm-13-23jcak07,47.5028,-93.4828
nmdc:bsm-13-p0q6k325,47.5028,-93.4828
nmdc:bsm-13-5230tp20,47.5028,-93.4828
nmdc:bsm-13-ckbyrj91,47.5028,-93.4828
nmdc:bsm-13-h3hs0w34,47.5028,-93.4828
nmdc:bsm-13-zfww4292,47.5028,-93.4828
nmdc:bsm-13-n5tfa767,47.5028,-93.4828
nmdc:bsm-13-q6yr9d61,47.5028,-93.4828
nmdc:bsm-13-3atx8142,47.5028,-93.4828
nmdc:bsm-13-n4jyv365,47.5028,-93.4828
nmdc:bsm-13-qkk3ns89,47.5028,-93.4828
nmdc:bsm-13-h067tp29,47.5028,-93.4828
nmdc:bsm-13-p59ske45,47.5028,-93.4828
nmdc:bsm-13-ppt4wr61,47.5028,-93.4828
nmdc:bsm-13-fkxhez34,47.5028,-93.4828
nmdc:bsm-13-x943jb19,47.5028,-93.4828
nmdc:bsm-13-gea2kg32,47.5028,-93.4828
nmdc:bsm-13-dfbvpp59,47.5028,-93.4828
nmdc:bsm-13-6sdt9548,47.5028,-93.4828
nmdc:bsm-13-z9ejh210,47.5028,-93.4828
nmdc:bsm-13-54dpnv44,47.5028,-93.4828
nmdc:bsm-13-kggfns50,47.5028,-93.4828
nmdc:bsm-13-t4gewc31,47.5028,-93.4828
nmdc:bsm-13-44tv5m32,47.5028,-93.4828
nmdc:bsm-13-4g22tp63,47.5028,-93.4828
nmdc:bsm-13-0nman268,47.5028,-93.4828
nmdc:bsm-13-awxce842,47.5028,-93.4828
nmdc:bsm-13-psbb1e06,47.5028,-93.4828
nmdc:bsm-11-v2tpkf75,18.321,-65.8172
nmdc:bsm-11-nntb2b19,18.321,-65.8172
nmdc:bsm-11-be0a2j83,18.321,-65.8172
nmdc:bsm-11-8b47yq58,18.321,-65.8172
nmdc:bsm-11-02x97z84,18.321,-65.8172
nmdc:bsm-11-cnp1bz57,18.321,-65.8172
nmdc:bsm-13-7m4gmy50,47.5028,-93.4828
nmdc:bsm-11-54rzej73,18.321,-65.8172
nmdc:bsm-11-44qchg93,18.321,-65.8172
nmdc:bsm-11-30160653,18.321,-65.8172
nmdc:bsm-11-1rn3f820,18.321,-65.8172
nmdc:bsm-11-y8mg6568,18.321,-65.8172
nmdc:bsm-11-ph506r31,18.321,-65.8172
nmdc:bsm-13-cz7spq64,47.5028,-93.4828
nmdc:bsm-11-s4dk4520,18.321,-65.8172
nmdc:bsm-11-xcdaak61,18.321,-65.8172
nmdc:bsm-11-zshvq766,18.321,-65.8172
nmdc:bsm-11-7dw1fh56,18.321,-65.8172
nmdc:bsm-11-zvj2bf24,18.321,-65.8172
nmdc:bsm-11-y7xe1z37,18.321,-65.8172
nmdc:bsm-11-67sr4s18,18.321,-65.8172
nmdc:bsm-11-asb16m86,18.321,-65.8172
nmdc:bsm-11-3m5y7993,18.321,-65.8172
nmdc:bsm-11-v7ahvn18,18.321,-65.8172
nmdc:bsm-11-dxgvjt61,18.321,-65.8172
nmdc:bsm-11-7yk57y24,18.321,-65.8172
nmdc:bsm-11-djwhcy84,18.321,-65.8172
nmdc:bsm-11-5aj0z466,18.321,-65.8172
nmdc:bsm-11-b9xefn28,18.321,-65.8172
nmdc:bsm-11-cg1kxx98,18.321,-65.8172
nmdc:bsm-11-2npw1g23,18.321,-65.8172
nmdc:bsm-11-e2bq8t48,18.321,-65.8172
nmdc:bsm-11-v2g7cd24,18.321,-65.8172
nmdc:bsm-11-z7p0d098,18.321,-65.8172
nmdc:bsm-11-jqnrez63,18.321,-65.8172
nmdc:bsm-11-gxyy9806,18.321,-65.8172
nmdc:bsm-11-mfn0tw54,18.321,-65.8172
nmdc:bsm-11-3a6fv767,18.321,-65.8172
nmdc:bsm-11-bw7qb106,18.321,-65.8172
nmdc:bsm-11-dcq9a530,18.321,-65.8172
nmdc:bsm-11-v3yms260,18.321,-65.8172
nmdc:bsm-11-a9890910,18.321,-65.8172
nmdc:bsm-11-68nk8576,18.321,-65.8172
nmdc:bsm-11-pp7xvm40,18.321,-65.8172
nmdc:bsm-11-0p3waw07,18.321,-65.8172
nmdc:bsm-11-s10a8h22,18.321,-65.8172
nmdc:bsm-11-05m5kp37,18.321,-65.8172
nmdc:bsm-11-0xs3cz68,18.321,-65.8172
nmdc:bsm-11-jpqqa343,18.321,-65.8172
nmdc:bsm-11-en87qp29,18.321,-65.8172
nmdc:bsm-11-h3434947,18.321,-65.8172
nmdc:bsm-11-2pdqgg53,18.321,-65.8172
nmdc:bsm-11-pzezjj26,18.321,-65.8172
nmdc:bsm-11-957njq91,18.321,-65.8172
nmdc:bsm-11-szyy9j91,18.321,-65.8172
